judul,asal,person,sentence
Asal Usul Danau Maninjau,Sumatera Barat,Datuk Limbatang,"Walaupun Datuk Limbatang, seorang pemimpin adat, berusaha untuk meredakan kesalahpahaman yang timbul di antara kedua keluarga tersebut, masyarakat masih cenderung memandang Giran dan Siti Rasani sebagai pihak yang bersalah"
Asal Usul Danau Maninjau,Sumatera Barat,an,Ini menunjukkan betapa kuatnya pengaruh budaya dan tradisi dalam membentuk persepsi masyarakat terhadap suatu peristiwa
Asal Usul Danau Maninjau,Sumatera Barat,Tanjungraya,"Saat keputusan telah diambil untuk mengadili Giran dan Siti Rasani, suasana di Tanjungraya menjadi tegang dan mencekam"
Asal Usul Danau Maninjau,Sumatera Barat,an,"Ketika malam tiba, kerumunan di kaki gunung terhampar dengan gelapnya"
Asal Usul Danau Maninjau,Sumatera Barat,an,"Obor-obor dinyalakan, menyinari wajah-wajah yang dipenuhi oleh kekhawatiran"
Asal Usul Danau Maninjau,Sumatera Barat,Kukuban,"Pada titik kritis ini, tiba-tiba terdengar suara berat Kukuban, salah seorang pemimpin adat"
Asal Usul Danau Maninjau,Sumatera Barat,Siti Rasani,"Dengan tegas, ia memerintahkan untuk menutup mata Giran dan Siti Rasani dengan sehelai kain hitam, sebagai tanda bahwa keputusan telah diambil dan tidak ada jalan keluar lainnya"
Asal Usul Danau Maninjau,Sumatera Barat,Siti Rasani,"Namun, di tengah keheningan yang menegangkan itu, suara lantang Siti Rasani memotong kebisuan"
Asal Usul Danau Maninjau,Sumatera Barat,an,"Dengan keyakinan yang kuat, ia menolak untuk menutup mata dan bersumpah atas kebenaran yang diyakininya"
Asal Usul Danau Maninjau,Sumatera Barat,Giran,"Giran juga tak mau kalah, dan dengan lantang ia memohon kepada Tuhan untuk membuktikan kebenaran mereka"
Asal Usul Danau Maninjau,Sumatera Barat,Giran,"Dalam ketegangan yang memuncak, Giran memohon kepada Tuhan dengan doa yang penuh keyakinan"
Asal Usul Danau Maninjau,Sumatera Barat,an,Dan mukjizat pun terjadi
Asal Usul Danau Maninjau,Sumatera Barat,an,"Gunung Tinjau, tempat terjadinya perselisihan tersebut, meletus dengan hebatnya"
Asal Usul Danau Maninjau,Sumatera Barat,an,"Letusan tersebut begitu dahsyat sehingga membentuklah Danau Maninjau, yang menjadi saksi bisu dari peristiwa tragis tersebut"
Asal Usul Danau Maninjau,Sumatera Barat,Bujang Sembilan,"Sebagai kutukan bagi Bujang Sembilan yang dianggap telah salah dalam menangani perselisihan tersebut, ia pun dikutuk menjadi ikan rayo, yang kemudian mendiami Danau Maninjau"
Asal Usul Danau Maninjau,Sumatera Barat,Tanjungraya,"Begitu pula dengan masyarakat pendukungnya, yang dikutuk menjadi ikan rinuak, yang hingga kini menjadi sumber kehidupan bagi masyarakat Tanjungraya dan sekitarnya"
Asal Usul Danau Maninjau,Sumatera Barat,an,"Kisah ini tidak hanya menggambarkan kebijaksanaan dalam menyelesaikan konflik, tetapi juga mengandung pesan tentang keadilan, kebenaran, dan hukuman atas perbuatan yang salah"
Asal Usul Danau Maninjau,Sumatera Barat,an,Sistem Petitih yang dijalankan oleh masyarakat Minangkabau menjadi landasan yang kuat dalam menjaga kedamaian dan keharmonisan dalam kehidupan berbangsa dan bernegara
Asal Usul Danau Maninjau,Sumatera Barat,Tanjungraya,"Setelah meletusnya Gunung Tinjau dan terbentuknya Danau Maninjau, masyarakat Tanjungraya menyaksikan mukjizat yang mengubah sejarah wilayah mereka"
Asal Usul Danau Maninjau,Sumatera Barat,Bujang Sembilan,"Bagi Bujang Sembilan dan para pendukungnya, kutukan yang mereka terima menjadi pengingat akan kesalahan yang telah mereka lakukan, serta konsekuensi dari tindakan yang tidak bijaksana"
Asal Usul Danau Maninjau,Sumatera Barat,an,Ikan rayo yang mendiami Danau Maninjau menjadi penjaga dan penjaga keberuntungan bagi masyarakat setempat
Asal Usul Danau Maninjau,Sumatera Barat,an,Keberadaan mereka mengingatkan akan pentingnya menjaga keharmonisan dan kedamaian di antara sesama
Asal Usul Danau Maninjau,Sumatera Barat,an,"Begitu pula dengan ikan rinuak, yang meskipun kecil namun berperan penting dalam ekosistem dan kehidupan sehari-hari masyarakat"
Asal Usul Danau Maninjau,Sumatera Barat,Tanjungraya,"Dengan demikian, kisah tragis Tanjungraya tidak hanya menjadi cerminan dari kehidupan masyarakat Minangkabau, tetapi juga memberikan pelajaran tentang pentingnya menjaga kebenaran, keadilan, dan keharmonisan dalam menjalani kehidupan bermasyarakat"
Asal Usul Danau Maninjau,Sumatera Barat,an,Sistem Petitih yang dijalankan dengan penuh kebijaksanaan dan kearifan lokal menjadi fondasi yang kokoh dalam menjaga stabilitas dan kesejahteraan suatu komunitas
Kelingking Sakti,Riau,Kelingking,"Mereka mempunyai tiga orang anak laki-laki bernama Salimbo, Ngah, dan Kelingking"
Kelingking Sakti,Riau,Kelingking,"Saat Kelingking berusia 5 bulan, ibunya meninggal dunia, meninggalkan mereka dalam keadaan duka yang mendalam"
Kelingking Sakti,Riau,Kelingking,Kelingking tumbuh menjadi pemuda yang tangguh dan penuh semangat
Kelingking Sakti,Riau,Kelingking,"Esoknya, dengan perasaan campur aduk, Kelingking bersiap-siap untuk meninggalkan desa dengan tujuh buah ketupat sebagai bekalnya"
Kelingking Sakti,Riau,Kelingking,"Selama dalam perjalanan, Kelingking harus menghadapi berbagai rintangan dan cobaan"
Kelingking Sakti,Riau,Kelingking,"Suatu siang, setelah berhari-hari berjalan, Kelingking sampai di hutan lebat"
Kelingking Sakti,Riau,Kelingking,"Jika air sungai berbuih, itu merupakan tanda bahwa ikan besar di dalamnya telah mati, dan Kelingking harus mengambil ikannya"
Kelingking Sakti,Riau,Kelingking,"Ketika terbangun, Kelingking mengingat pesan dari mimpi tersebut dan memutuskan untuk mengikutinya"
Kelingking Sakti,Riau,Kelingking,"Tak lama kemudian, air sungai mulai berbuih, dan Kelingking tahu bahwa inilah saatnya untuk mengambil ikan yang dimaksud"
Kelingking Sakti,Riau,Kelingking,"Setelah berhasil menangkap ikan tersebut, Kelingking memasaknya dan makan sendiri dengan lahap"
Kelingking Sakti,Riau,Kelingking,Kelingking mulai merasa kecewa dan bingung
Kelingking Sakti,Riau,Kelingking,"Meskipun demikian, Kelingking tidak kehilangan harapan"
Kelingking Sakti,Riau,Kelingking,"Melihat kesempatan ini sebagai takdir yang diberikan kepadanya, Kelingking mendaftarkan diri untuk mengikuti sayembara tersebut"
Kelingking Sakti,Riau,Kelingking,"Meskipun dicemooh oleh orang-orang yang meremehkannya, Kelingking tidak membiarkan hal itu mempengaruhi semangatnya"
Kelingking Sakti,Riau,Kelingking,"Ketika tiba gilirannya, Kelingking dengan percaya diri menghadapi tantangan yang diberikan oleh raja"
Kelingking Sakti,Riau,Kelingking,"Dengan demikian, Kelingking berhak untuk menikahi putri raja, dan pernikahan mereka diadakan dengan penuh kebahagiaan dan kegembiraan"
Kelingking Sakti,Riau,Kelingking,"Kelingking tidak lupa untuk menjemput ayah dan kedua abangnya untuk tinggal bersama di istana, sehingga mereka dapat menikmati kehidupan yang lebih baik bersama-sama"
Kelingking Sakti,Riau,Kelingking,"Kisah Kelingking menjadi legenda di desa itu, menginspirasi banyak orang dengan keberaniannya dan kemurahan hatinya"
Kisah Kucing Sang Guru,Lampung,Ku,"Pada zaman dahulu, di hutan yang subur dan rimbun, Kucing dianggap sebagai binatang yang luar biasa"
Kisah Kucing Sang Guru,Lampung,Ku,"Oleh karena itu, Kucing dikenal sebagai guru besar di antara hewan-hewan hutan"
Kisah Kucing Sang Guru,Lampung,Singa,"Di antara sekian banyak murid yang ingin belajar darinya, Singa dan Harimau adalah dua murid yang paling setia"
Kisah Kucing Sang Guru,Lampung,Ku,"Mereka rela mengikuti Kucing ke mana pun ia pergi, dengan harapan untuk bisa menimba ilmu dari kebijaksanaannya yang luar biasa"
Kisah Kucing Sang Guru,Lampung,Singa,"Singa dan Harimau mengungkapkan keinginan mereka untuk belajar cara memanjat pohon kepada Kucing, guru mereka"
Kisah Kucing Sang Guru,Lampung,Ku,"Mengapa kalian begitu menginginkan ilmu ini?"" tanya Kucing dengan penuh kehati-hatian"
Kisah Kucing Sang Guru,Lampung,Hari,"Ilmu itu sangat penting bagi kami,"" jawab Harimau dengan antusias"
Kisah Kucing Sang Guru,Lampung,Ku,"Namun, Kucing ragu"
Kisah Kucing Sang Guru,Lampung,Ku,"Sebagai pengalihan, Kucing memutuskan untuk mengajari mereka keterampilan berenang"
Kisah Kucing Sang Guru,Lampung,Hari,"Namun, semakin hari, keinginan Harimau untuk mempelajari ilmu memanjat pohon semakin kuat"
Kisah Kucing Sang Guru,Lampung,Ku,"Pada suatu pagi, ia mendatangi Kucing dengan tekad yang bulat"
Kisah Kucing Sang Guru,Lampung,Hari,"""Guru, aku ingin kau mengajari aku ilmu memanjat pohon,"" desak Harimau dengan tegas"
Kisah Kucing Sang Guru,Lampung,Hari,"Kucing mencoba menunda-nunda dengan berbagai alasan, tetapi Harimau tetap kukuh pada keinginannya"
Kisah Kucing Sang Guru,Lampung,Ku,"""Akan kau gunakan ilmu itu untuk apa?"" tanya Kucing dengan penuh pertimbangan"
Kisah Kucing Sang Guru,Lampung,Hari,"Aku ingin memiliki keterampilan yang lengkap,"" jawab Harimau dengan mantap"
Kisah Kucing Sang Guru,Lampung,Ku,"Namun, Kucing tidak terkejut dengan jawaban tersebut"
Kisah Kucing Sang Guru,Lampung,Hari,"""Manfaat itu bisa baik atau buruk, Harimau"
Kisah Kucing Sang Guru,Lampung,Ku,"Aku tidak ingin mengajarkanmu sesuatu yang akan kau gunakan untuk hal yang salah,"" jelas Kucing dengan bijaksana"
Kisah Kucing Sang Guru,Lampung,Hari,"Namun, Harimau semakin kesal dengan penundaan yang dilakukan oleh Kucing"
Kisah Kucing Sang Guru,Lampung,Hari,"""Guru, jika kau terus menunda-nunda, aku akan marah!"" ancam Harimau dengan nada tinggi"
Kisah Kucing Sang Guru,Lampung,Ku,"Kucing tersentak mendengar ancaman itu, tetapi ia tetap tenang"
Kisah Kucing Sang Guru,Lampung,Ku,"""Jika kau marah, apa yang akan kau lakukan?"" tanya Kucing dengan tenang"
Kisah Kucing Sang Guru,Lampung,Hari,"""Aku akan bertindak kasar!"" jawab Harimau dengan tegas"
Kisah Kucing Sang Guru,Lampung,Ku,"Namun, Kucing hanya tersenyum"
Kisah Kucing Sang Guru,Lampung,Hari,"""Aku tidak peduli!"" jawab Harimau dengan keras"
Kisah Kucing Sang Guru,Lampung,Ku,"Mendengar hal itu, Kucing menyadari bahwa tidak mungkin baginya untuk tetap berada di sana"
Kisah Kucing Sang Guru,Lampung,Hari,Ia tahu bahwa Harimau telah terlalu jauh dalam kemarahannya
Kisah Kucing Sang Guru,Lampung,Hari,"Dengan hati yang berat, Kucing meninggalkan Harimau dan pergi mencari tempat yang aman"
Kisah Kucing Sang Guru,Lampung,Hari,"Namun, Harimau tidak puas dengan keputusan Kucing"
Kisah Kucing Sang Guru,Lampung,Ku,"Kemarahannya semakin memuncak, dan ia bersumpah untuk membunuh Kucing sebagai balasannya"
Kisah Kucing Sang Guru,Lampung,Hari,"Namun, saat Harimau mencari-cari Kucing, ia merasa lapar dan memutuskan untuk mencari makanan terlebih dahulu"
Kisah Kucing Sang Guru,Lampung,Ku,"Ketika ia kembali, Kucing sudah tidak ada di tempat itu lagi"
Kisah Kucing Sang Guru,Lampung,Ku,"Sementara itu, Kucing terus melangkah dengan hati yang berat"
Kisah Kucing Sang Guru,Lampung,Hari,"Ia tidak tahu kemana arah yang ia tuju, tetapi yang ia tahu saat ini adalah bahwa ia harus menjauh dari Harimau yang penuh amarah"
Kisah Kucing Sang Guru,Lampung,Hari,"Di tempat yang jauh dari desa dan dari Harimau, Kucing terus berjalan dengan langkah yang mantap"
Kisah Kucing Sang Guru,Lampung,Hari,"Ia tidak tahu apa yang akan terjadi selanjutnya, tetapi satu hal yang pasti: ia tidak akan pernah melupakan pelajaran berharga yang diberikan oleh pengalaman dengan Harimau"
Asal Usul Selat Nasi,Kepulauan Riau,Datuk Kaya,"Namanya Datuk Kaya dan istrinya, Cik Wan"
Asal Usul Selat Nasi,Kepulauan Riau,Nilam Sari,Anaknya bernama Nilam Sari
Asal Usul Selat Nasi,Kepulauan Riau,Permasuri,Salah satu diantaranya adalah Permasuri dari Kerajaan Palembang
Asal Usul Selat Nasi,Kepulauan Riau,Pangeran Demang Aji Jaya,"Beliau ingin Nilam Sari menikah dengan putranya, Pangeran Demang Aji Jaya"
Asal Usul Selat Nasi,Kepulauan Riau,Permaisuri,"Untuk mewujudkan impiannya tersebut, maka Permaisuri mengirim utusan untuk melamar sang putri"
Asal Usul Selat Nasi,Kepulauan Riau,Datuk Kaya,Mereka menghadap Datuk Kaya dan menyampaikan baik-baik maksud dan tujuan kedatangan mereka
Asal Usul Selat Nasi,Kepulauan Riau,Datuk Kaya,"Setelah terjadi percakapan yang cukup hangat dan dalam, akhirnya Datuk Kaya mengutarakan isi hatinya"
Asal Usul Selat Nasi,Kepulauan Riau,Datuk Kaya,"Jadi silahkan kalian datang lebih awal sebelum jadwal tersebut,”jawab Datuk Kaya dengan wajah berseri-seri karena sebentar lagi akan memiliki besan seorang raja"
Asal Usul Selat Nasi,Kepulauan Riau,Datuk Kaya,Datuk Kaya dan istrinya bertengkar hebat menyikapi hal demikian
Asal Usul Selat Nasi,Kepulauan Riau,Sang,Sang istri masih mencoba memahami situasi yang tengah terjadi
Asal Usul Selat Nasi,Kepulauan Riau,Datuk Kaya,Namun tidak dengan Datuk Kaya
Asal Usul Selat Nasi,Kepulauan Riau,Cik Wan,"Malu kita kalau memberikan hidangan basi kepada tamu sebanyak ini,” usul Cik Wan"
Asal Usul Selat Nasi,Kepulauan Riau,Datuk Kaya,"Dikiranya mudah apa mempersiapkan acara sebesar ini,”jawab Datuk Kaya semakin emosi"
Asal Usul Selat Nasi,Kepulauan Riau,Datuk Kaya,Perdebatan itu terus terjadi hingga akhirnya Datuk Kaya menjatuhkan talak tiga kepada istrinya
Asal Usul Selat Nasi,Kepulauan Riau,Datuk Kaya,Begitu juga aku!”ucap Datuk Kaya dengan nada tinggi
Asal Usul Selat Nasi,Kepulauan Riau,Datuk Kaya,"Selesai berucap, alam seperti mendengar sumpah Datuk Kaya"
Asal Usul Selat Nasi,Kepulauan Riau,Datuk Kaya,Tanah lalu terbelah menjadi dua sesuai dengan garis yang dibuat Datuk Kaya
Asal Usul Selat Nasi,Kepulauan Riau,Datuk Kaya,"Disebelah selatan menjadi Pulau Subi besar milik Datuk Kaya, sedangkan di sebelah utara menjadi Pulau Subi kecil milik Cik Wan, istrinya"
Asal Usul Selat Nasi,Kepulauan Riau,Datuk Kaya,Nama itu untuk mengenang segala perbuatan Datuk Kaya yang menghambur-hamburkan nasi basi akibat emosi yang tak terkendali
Putri Pandan Berduri,Kepulauan Riau,Batin Lagoi,"Pada zaman dahulu, hiduplah sekelompok Suku Laut di Pulau Bintan, Kepulauan Riau, yang dipimpin oleh Batin Lagoi"
Putri Pandan Berduri,Kepulauan Riau,Batin Lagoi,"Suatu hari, Batin Lagoi sedang berjalan menyusuri pantai dan tak sengaja mendengar suara tangisan bayi"
Putri Pandan Berduri,Kepulauan Riau,Batin Lagoi,"Tak menemukan siapapun, Batin Lagoi memutuskan untuk meneruskan langkahnya"
Putri Pandan Berduri,Kepulauan Riau,Batin Lagoi,"""Astaga! Siapa gerangan yang meletakkan bayi di sini?"" kaget Batin Lagoi hingga jatuh tersungkur di tanah"
Putri Pandan Berduri,Kepulauan Riau,Batin Lagoi,"Meski ragu, Batin Lagoi berjalan dengan hati-hati dan pelan mendekati sang bayi"
Putri Pandan Berduri,Kepulauan Riau,Putri Pandan Berduri,Putri Pandan Berduri adalah nama yang diberikan kepada bayi perempuan cantik itu
Putri Pandan Berduri,Kepulauan Riau,Batin Lagoi,Batin Lagoi merawatnya penuh kasih sayang bak anak sendiri dan menganggapnya sebagai pemberian dari Tuhan
Putri Pandan Berduri,Kepulauan Riau,Putri Pandan Berduri,"Waktu berlalu begitu cepat, Putri Pandan Berduri tumbuh menjadi seorang gadis cantik jelita yang memiliki sikap anggun dan santun"
Putri Pandan Berduri,Kepulauan Riau,Putri Pandan Berduri,Banyak pemuda terpikat akan kecantikan Putri Pandan Berduri walau tak seorang pun yang berani meminangnya
Putri Pandan Berduri,Kepulauan Riau,Batin Lagoi,Batin Lagoi sendiri menginginkan putrinya menikah dengan keturunan bangsawan
Putri Pandan Berduri,Kepulauan Riau,Jenang Perkasa,"Sementara itu, di Pulau Galang, dua orang kakak beradik keturunan bangsawan yakni Julela dan Jenang Perkasa hidup rukun sejak kecil"
Putri Pandan Berduri,Kepulauan Riau,Julela,"Sampai akhirnya, sang ayah menunjuk Julela sebagai pemimpin selanjutnya di Pulau Galang"
Putri Pandan Berduri,Kepulauan Riau,Jenang Perkasa,"Julela pun menjadi angkuh dan mengancam Jenang Perkasa, ""Hai Jenang bodoh, kelak aku menjadi pemimpin lalu kau harus mengikuti setiap perintahku"
Putri Pandan Berduri,Kepulauan Riau,Jenang Perkasa,""" Jenang Perkasa sungguh kecewa akan sikap kakaknya dan memutuskan pergi meninggalkan Pulau Galang"
Putri Pandan Berduri,Kepulauan Riau,Jenang,"Sehari-hari, Jenang bekerja sebagai pedagang"
Putri Pandan Berduri,Kepulauan Riau,Batin Lagoi,Cerita itu sampai ke telinga Batin Lagoi yang kemudian sangat penasaran untuk mengenal si pemuda secara langsung
Putri Pandan Berduri,Kepulauan Riau,Batin Lagoi,"Supaya tak mencolok, Batin Lagoi menyelenggarakan acara makan malam dengan mengundang seluruh tokoh terkemuka di Pulau Bintan"
Putri Pandan Berduri,Kepulauan Riau,Jenang Perkasa,Jenang Perkasa juga diundang dalam acara itu dan tak luput dari perhatian Batin Lagoi
Putri Pandan Berduri,Kepulauan Riau,Batin Lagoi,"Caranya bersikap, berbicara dan bersantap membuat Batin Lagoi terkesan sampai terbesit keinginan menikahkan putrinya dengan Jenang"
Putri Pandan Berduri,Kepulauan Riau,Batin Lagoi,"""Sudah lama aku mendengar kehalusan budi pekertimu anak muda,"" kata Batin Lagoi membuka percakapan yang dibalas senyuman sopan oleh Jenang"
Putri Pandan Berduri,Kepulauan Riau,Jenang,"Jenang terkejut mendengar tawaran itu, tak menyangka ayah seorang gadis cantik meminta kesediaannya menjadi menantu"
Putri Pandan Berduri,Kepulauan Riau,Putri Pandan Berduri,"Beberapa hari kemudian, Batin Lagoi menikahkan Putri Pandan Berduri dan Jenang Perkasa"
Putri Pandan Berduri,Kepulauan Riau,Batin Lagoi,"Tak lama setelah itu, Batin Lagoi yang merasa sudah tua mengangkat menantunya menjadi pemimpin di Pulau Bintan"
Putri Pandan Berduri,Kepulauan Riau,Batin Lagoi,Jenang yang memang merupakan anak seorang pemimpin bersedia menggantikan Batin Lagoi
Putri Pandan Berduri,Kepulauan Riau,Putri Pandan Berduri,"Pernikahan Putri Pandan Berduri dengan Jenang Perkasa dikaruniai tiga anak yakni Batin Mantang yang kemudian sebagai kepala suku di utara Pulau Bintan, Batin Mapoi yaitu kepala suku di barat Pulau Bintan, dan Kelon yaitu kepala suku di timur Pulau Bintan"
Asal Usul Pulau Senua,Kepulauan Riau,Mai Lamah,"Sang suami bernama Baitusen, sedangkan istrinya bernama Mai Lamah"
Asal Usul Pulau Senua,Kepulauan Riau,Baitusen,"Ketika pertama kali tinggal di Pulau Bunguran, Baitusen bekerja sebagai nelayan sebagaimana umumnya warga yang tinggal di pulau tersebut"
Asal Usul Pulau Senua,Kepulauan Riau,Mai Lamah,"Sedangkan istrinya, Mai Lamah, membantu suaminya membuka kulit kerang untuk dibuat perhiasan"
Asal Usul Pulau Senua,Kepulauan Riau,Baitusen,"Baitusen dan istrinya pun merasa senang dan betah tinggal di Pulau Bunguran, karena warga pulau tersebut menunjukkan sikap yang ramah dan penuh persaudaraan"
Asal Usul Pulau Senua,Kepulauan Riau,Mak Semah,"Kebetulan rumah mereka bersebelahan dengan rumah Mak Semah, seorang bidan kampung yang miskin, tetapi baik hati"
Asal Usul Pulau Senua,Kepulauan Riau,Mai Lamah,"” Pesan Mak Semah kepada Mai Lamah, tetangga barunya itu"
Asal Usul Pulau Senua,Kepulauan Riau,Mai Lamah,"“Terima kasih, Mak!” ucap Mai Lamah dengan senang hati"
Asal Usul Pulau Senua,Kepulauan Riau,Baitusen,"Begitu pula warga Bunguran lainnya, mereka senantiasa bersikap baik terhadap Baitusen dan istrinya, sehingga hanya dalam waktu beberapa bulan tinggal di daerah itu, mereka sudah merasa menjadi penduduk setempat"
Asal Usul Pulau Senua,Kepulauan Riau,dik,"""Bang! Sejak berada di kampung ini, Adik tidak pernah merasa sebagai pendatang"
Asal Usul Pulau Senua,Kepulauan Riau,Mail Lamah,"Semua penduduk di sini menganggap kita sebagai saudara sendiri,“ kata Mail Lamah kepada suaminya"
Asal Usul Pulau Senua,Kepulauan Riau,Baitusen,"""Begitulah kalau kita pandai membawa diri di kampung halaman orang,“ pungkas Baitusen"
Asal Usul Pulau Senua,Kepulauan Riau,Baitusen,Baitusen semakin rajin pergi ke laut mencari kerang dan siput
Asal Usul Pulau Senua,Kepulauan Riau,Baitusen,"Pada suatu hari, Baitusen menemukan sebuah lubuk teripang, di mana terdapat ribuan ekor teripang (sejenis binatang laut) di dalamnya"
Asal Usul Pulau Senua,Kepulauan Riau,dik,Ia pun membawa pulang teripang-teripang untuk dikeringkan lalu dijual ke Negeri Singapura dan Cina
Asal Usul Pulau Senua,Kepulauan Riau,Baitusen,"Akhirnya, hasil penjualan tersebut benar-benar mengubah nasib Baitusen dan istrinya"
Asal Usul Pulau Senua,Kepulauan Riau,Baitusen,Para tauke dari negeri seberang lautan pun berdatangan ke Pulau Bunguran untuk membeli teripang hasil tangkapan Baitusen dengan menggunakan tongkang-wangkang (kapal besar)
Asal Usul Pulau Senua,Kepulauan Riau,Baitusen,"Sejak saat itu, Baitusen terkenal sebagai saudagar teripang"
Asal Usul Pulau Senua,Kepulauan Riau,nya May Lam,Istri Baitusen pun terkenal dengan panggilan Nyonya May Lam oleh para tauke langganan suaminya itu
Asal Usul Pulau Senua,Kepulauan Riau,Mai Lamah,"Rupanya, gelar tersebut membuat Mai Lamah lupa daratan dan lupa dengan asal usulnya"
Asal Usul Pulau Senua,Kepulauan Riau,Mai Lamah,"Sejak menjadi istri seorang saudagar kaya, penampilan sehari-hari Mai Lamah berubah"
Asal Usul Pulau Senua,Kepulauan Riau,Mak Semah,"Pada suatu hari, Mak Semah datang ke rumahnya hendak meminjam beras kepadanya"
Asal Usul Pulau Senua,Kepulauan Riau,Mai Lamah,"Namun malang bagi Mak Semah, bukannya beras yang ia peroleh dari Mai Lamah, melainkan cibiran"
Asal Usul Pulau Senua,Kepulauan Riau,Mai Lamah,Dengan apa kamu akan membayar hutangmu?“ Mai Lamah mencemooh Mak Semah
Asal Usul Pulau Senua,Kepulauan Riau,Mak Semah,"Mendengar cemoohan itu, Mak Semah hanya terdiam menunduk"
Asal Usul Pulau Senua,Kepulauan Riau,Mak Lamah,"Sementara suami Mak Lamah yang juga hadir di tempat itu, berusaha untuk membujuk istrinya"
Asal Usul Pulau Senua,Kepulauan Riau,Mak Semah,"""Istriku, penuhilah permintaan Mak Semah! Bukankah dia tetangga kita yang baik hati"
Asal Usul Pulau Senua,Kepulauan Riau,Mai Lamah,"” “Ah, persetan dengan yang dulu-dulu itu! Dulu itu dulu, sekarang ya sekarang!“ seru Mai Lamah dengan ketus"
Asal Usul Pulau Senua,Kepulauan Riau,Mai Lamah,Begitulah sikap dan perlakuan Mai Lamah kepada setiap warga miskin yang datang ke rumahnya untuk meminta bantuan
Asal Usul Pulau Senua,Kepulauan Riau,Mai Lamah,"Suatu ketika, tiba juga masanya Mai Lamah membutuhkan pertolongan tetangganya"
Asal Usul Pulau Senua,Kepulauan Riau,Mak,"Ia hendak melahirkan, sedangkan Mak Bidan dari pulau seberang belum juga datang"
Asal Usul Pulau Senua,Kepulauan Riau,Mak Semah,"Baitusen telah berkali-kali meminta bantuan Mak Semah dan warga lainnya, tetapi tak seorang pun yang bersedia menolong"
Asal Usul Pulau Senua,Kepulauan Riau,Mai Lamah,"Mereka sakit hati karena sering dicemooh oleh istrinya, Mai Lamah"
Asal Usul Pulau Senua,Kepulauan Riau,Mak Saiyah,"""Ah, buat apa menolong Mai Lamah yang kedekut itu! Biar dia tau rasa dan sadar bahwa budi baik dan hidup bertegur sapa itu jauh lebih berharga dari harta benda,” cetus Mak Saiyah, seorang istri nelayan, tetangga Mai Lamah"
Asal Usul Pulau Senua,Kepulauan Riau,Baitusen,Baitusen yang tidak tega lagi melihat keadaan istrinya itu segera mengajaknya ke pulau seberang untuk mencari bidan
Asal Usul Pulau Senua,Kepulauan Riau,Baitusen,"""Ayo, kita ke pulau seberang saja, Istriku!“, ajak Baitusen sambil memapah istrinya naik ke perahu"
Asal Usul Pulau Senua,Kepulauan Riau,Mai Lamah,"""Bang! Jangan lupa membawa serta peti emas dan perak kita! Bawa semua naik ke perahu!“ seru Mai Lamah sambil menahan rasa sakit"
Asal Usul Pulau Senua,Kepulauan Riau,Baitusen,"“Baiklah, Istriku!” jawab Baitusen"
Asal Usul Pulau Senua,Kepulauan Riau,Baitusen,"Setelah mengantar istrinya naik ke atas perahu, Baitusen kembali ke rumahnya untuk mengambil peti emas dan perak tersebut"
Asal Usul Pulau Senua,Kepulauan Riau,Baitusen,Sementara Baitusen dan istrinya berusaha menyelamatkan diri
Asal Usul Pulau Senua,Kepulauan Riau,Mai Lamah,"Tubuh Mai Lamah timbul tenggelam di permukaan air laut, karena keberatan oleh kandungannya dan ditambah pula dengan gelang-cincin, kalung lokit (liontin emas), dan subang emas yang melilit di tubuhnya"
Asal Usul Pulau Senua,Kepulauan Riau,Mai Lamah,"Tak berapa lama kemudian, tubuh Mai Lamah menjelma menjadi batu besar dalam keadaan berbadan dua"
Asal Usul Pulau Senua,Kepulauan Riau,Mai Lamah,Sementara emas dan perak yang melilit tubuh Mai Lamah menjelma menjadi burung layang-layang putih atau lebih dikenal dengan burung walet
Desa Penyalahan Tasikmalaya,Jawa Barat,si Loreng,"Dahulu kala, di sebuah desa yang terletak di kawasan Tasikmalaya, terdapat sebuah kisah yang melibatkan sepasang suami istri yang hidup bersama seekor harimau bernama si Loreng"
Desa Penyalahan Tasikmalaya,Jawa Barat,si Loreng,"Mereka merawat si Loreng sejak ia masih anak-anak, dan hubungan mereka dengan harimau itu semakin kuat ketika mereka memiliki seorang anak"
Desa Penyalahan Tasikmalaya,Jawa Barat,si Loreng,"Ketika suami istri itu pergi bekerja di ladang, si Lorenglah yang menjaga anak mereka di rumah"
Desa Penyalahan Tasikmalaya,Jawa Barat,si,"Harimau itu menunjukkan kesetiaan yang luar biasa, menjaga bayi itu dengan penuh tanggung jawab dan kasih sayang"
Desa Penyalahan Tasikmalaya,Jawa Barat,Si Loreng,"Si Loreng menjadi bagian dari keluarga mereka, dan anak itu tumbuh dalam keamanan dan perlindungan harimau itu"
Desa Penyalahan Tasikmalaya,Jawa Barat,si,"Namun, suatu hari, saat suami istri itu sedang sibuk bekerja di ladang, terjadi sesuatu yang mengejutkan"
Desa Penyalahan Tasikmalaya,Jawa Barat,Si Loreng,Si Loreng datang berlari kencang melintasi pematang sawah menuju mereka dengan geraman yang panik
Desa Penyalahan Tasikmalaya,Jawa Barat,si Loreng,"Binatang itu tampak gelisah, dan saat mereka mendekat, mereka melihat mulut si Loreng penuh dengan darah"
Desa Penyalahan Tasikmalaya,Jawa Barat,si Loreng,"Sang suami dan istri langsung panik, teringat akan bayi mereka yang seharusnya dijaga oleh si Loreng"
